offset unicorr gausscorr
1860 0.249689 -0.00158329
1880 0.249898 0.000197853
1900 0.249884 0.00103482
1920 0.249885 0.000404042
1940 0.249842 -0.00189608
1960 0.249802 0.0011214
1980 0.249838 -0.00031931
2000 0.249771 -0.00182507
2020 0.249949 -5.6074e-05
2040 0.249794 0.000411499
2060 0.249768 0.000632513
2080 0.24991 0.00136013
2100 0.249996 0.00275838
2120 0.250082 0.00221365
2140 0.250004 6.28312e-05
2160 0.250064 0.00124056
2180 0.249681 -0.00137171
2200 0.25 0.00131562
2220 0.249853 -0.000871049
2240 0.249852 -0.00045275
2260 0.249617 0.000950549
2280 0.250021 0.00160721
2300 0.249955 0.000359321
2320 0.24985 -0.00163972
2340 0.249938 -0.0018241
2360 0.249906 0.000687743
2380 0.24977 0.00101767
2400 0.249796 0.000352964
2420 0.249867 -0.000104817
2440 0.249928 0.00114261
2460 0.249972 -0.00212826
2480 0.249777 0.00149678
2500 0.249711 -0.00148624
2520 0.249937 0.000422063
2540 0.249778 0.00266686
2560 0.249854 0.000738023
2580 0.249764 0.000520082
2600 0.249993 0.00112561
2620 0.249849 0.000470287
2640 0.249789 -1.21425e-05
2660 0.24982 0.000175644
2680 0.249802 -0.002483
2700 0.249979 0.000503628
2720 0.249907 -0.00156979
2740 0.249845 -0.00154392
2760 0.249944 0.00199744
2780 0.250076 -0.000690678
2800 0.249873 -0.00233058
2820 0.25007 -0.000181321
2840 0.249776 -0.000957046
2860 0.249788 0.000928268
2880 0.249978 0.000847434
2900 0.249892 -0.000862996
2920 0.2497 0.000349132
2940 0.249842 -0.00132985
2960 0.24971 -0.00174889
2980 0.249967 0.00037419
3000 0.249807 -0.000828649
3020 0.249778 0.00136092
3040 0.249722 0.00201837
3060 0.249746 0.000373303
3080 0.249906 0.000202108
3100 0.249896 -0.000673086
3120 0.249801 -0.000104566
3140 0.249897 -0.00215389
3160 0.249825 -0.000712648
3180 0.249786 -0.000900775
3200 0.249922 -0.00220928
3220 0.249965 -0.00087619
3240 0.249945 -0.000191911
3260 0.249826 -0.00138562
3280 0.250065 0.000503851
3300 0.249931 -0.000645913
3320 0.249954 0.00163615
3340 0.249917 -0.0022914
3360 0.24989 -0.000107659
3380 0.249858 -0.00110597
3400 0.249938 -0.000238284
3420 0.249873 -0.000909214
3440 0.24991 -0.00352226
3460 0.249899 -0.00240593
3480 0.249825 -0.000201656
3500 0.249855 -0.000673769
3520 0.249928 0.000660787
3540 0.249838 0.00125336
3560 0.249886 0.000146132
3580 0.249877 -0.00147731
3600 0.250018 -0.00173096
3620 0.24993 5.58404e-05
3640 0.249971 -0.000426929
3660 0.249924 0.000629417
3680 0.25021 0.000380475
3700 0.250012 -0.000234842
3720 0.249897 0.000335682
3740 0.249844 0.0011014
3760 0.249906 -0.00043456
3780 0.250099 0.000622032
3800 0.249792 0.000280682
3820 0.249922 -0.00156523
3840 0.249997 4.78909e-05
3860 0.249869 -0.000663998
3880 0.249929 0.000899789
3900 0.249885 -0.000975926
3920 0.249615 -0.000644019
3940 0.24981 0.00108115
3960 0.249877 -0.000459303
3980 0.249956 0.000765869
4000 0.249813 0.000338232
4020 0.249704 -0.00234337
4040 0.249751 0.00065856
4060 0.249918 -3.60405e-07
4080 0.249625 0.000770054
4100 0.249791 0.00239849
4120 0.249899 -0.00154746
4140 0.249888 0.000291785
4160 0.249816 -0.00218866
4180 0.249996 0.00175744
4200 0.250034 -0.00110582
4220 0.249809 0.000698743
4240 0.249917 0.000685739
4260 0.249952 -0.00145954
4280 0.249827 0.00220308
4300 0.24991 -0.000436992
4320 0.24984 -0.000419245
4340 0.249928 -0.000139436
4360 0.249826 -0.000597865
4380 0.249932 0.0034802
4400 0.24981 -0.000809608
4420 0.249637 -0.00108037
4440 0.24985 -0.00109468
4460 0.249918 -0.00130435
4480 0.249939 -0.00168769
4500 0.249866 -4.82311e-05
4520 0.249833 -0.000287513
4540 0.24995 0.000481665
4560 0.249895 -0.000736605
4580 0.249809 0.00215347
4600 0.24982 -0.00182497
4620 0.249614 -1.46906e-05
4640 0.249874 -0.000551262
4660 0.249929 -0.00241604
4680 0.249909 -0.00103615
4700 0.249761 0.00134863
4720 0.249752 -0.0024136
4740 0.249816 -0.000882125
4760 0.249734 0.00123674
4780 0.250114 -8.35065e-05
4800 0.249638 0.000232747
4820 0.249647 -0.00265059
4840 0.249829 0.00133924
4860 0.249917 -0.000566131
4880 0.249793 -0.00115303
4900 0.249947 0.00265287
4920 0.249571 0.000549661
4940 0.249928 0.00141216
4960 0.249865 -0.0017097
4980 0.24983 0.000186494
5000 0.249785 0.00265667
5020 0.249886 0.00146399
5040 0.249789 -0.000520237
5060 0.249777 0.00202177
5080 0.249864 -0.000778987
5100 0.249775 -0.000546789
5120 0.249732 -0.000475845
5140 0.249924 -0.000378491
5160 0.24989 -0.00144911
5180 0.249825 0.00075256
5200 0.249763 0.00043552
5220 0.249956 0.00119219
5240 0.249889 0.000852054
5260 0.249637 0.000254475
5280 0.249677 -0.000128935
5300 0.249706 -0.00326028
5320 0.249951 -0.00191743
5340 0.249893 -0.00139209
5360 0.250171 -0.00138129
5380 0.249593 -0.00282864
5400 0.249843 0.00162301
5420 0.24963 0.00113704
5440 0.249801 0.000113048
5460 0.249878 0.00173721
5480 0.250024 0.0022233
5500 0.249817 0.00366162
5520 0.249951 -0.00231247
5540 0.249545 0.00256454
5560 0.249771 -0.000920186
5580 0.249797 0.000250319
5600 0.249804 -0.00222314
5620 0.249733 0.00131351
5640 0.24986 -0.00138455
5660 0.24977 -0.000908487
5680 0.250069 -0.00224885
5700 0.249829 -0.000939279
5720 0.249999 0.000899066
5740 0.249907 0.00178483
5760 0.249795 0.000413014
5780 0.249728 -0.00207343
5800 0.249879 -0.000997482
5820 0.24967 -0.000318739
5840 0.250077 -0.00052162
5860 0.24971 -0.000120578
5880 0.249819 0.00191297
5900 0.249916 0.00112918
5920 0.249793 0.000834374
5940 0.249869 -0.000267312
5960 0.249789 0.00128679
5980 0.250001 -0.000639869
6000 0.249978 0.00275919
6020 0.249996 0.000962029
6040 0.249953 -0.000116522
6060 0.249902 0.00162967
6080 0.249782 0.000933786
6100 0.249761 0.00265809
6120 0.249807 -0.00234139
6140 0.249893 -0.00144062
6160 0.249729 0.000172934
6180 0.249926 -0.00482744
6200 0.249922 0.00278812
6220 0.249829 0.00204758
6240 0.249899 0.0015266
6260 0.249764 0.00160707
6280 0.249832 -0.00107535
6300 0.249868 0.00202098
6320 0.249766 -8.76043e-05
6340 0.249813 3.53624e-05
6360 0.249797 0.000737667
6380 0.249785 0.000558241
6400 0.249723 -0.000849988
6420 0.249926 0.00169615
6440 0.249614 0.00380598
6460 0.249884 -0.000477498
6480 0.250078 0.00184495
6500 0.250002 -0.00128806
6520 0.249612 -0.000403144
6540 0.249681 0.000678873
6560 0.249791 8.43672e-05
6580 0.249678 -0.00117175
6600 0.250032 -0.000311834
6620 0.249905 0.000886992
6640 0.250113 -0.00272942
6660 0.249836 0.00138568
6680 0.24986 0.00106177
6700 0.249829 0.000275003
6720 0.249878 0.000381069
6740 0.249809 0.000373748
6760 0.249855 -0.00166306
6780 0.249978 0.00190959
6800 0.249883 0.00135025
6820 0.249763 0.000575154
6840 0.249743 0.00171889
6860 0.249437 0.00144262
6880 0.249751 -0.00222106
6900 0.249834 0.00123218
6920 0.249927 0.000923539
6940 0.249774 0.000210007
6960 0.250025 3.49971e-05
6980 0.25 -0.00160633
7000 0.249943 0.000202491
7020 0.249827 0.000806839
7040 0.24992 -0.000155644
7060 0.249724 -0.00193716
7080 0.249746 -0.00154055
7100 0.250036 1.69131e-06
7120 0.249843 -0.000818091
7140 0.249842 0.00138027
7160 0.249683 0.00230968
7180 0.249775 0.000403103
7200 0.249848 0.000364619
7220 0.249887 -0.0042519
7240 0.249982 0.000246057
7260 0.249714 0.00132518
7280 0.249825 -0.000330133
7300 0.249842 0.00127251
7320 0.249847 0.00135492
7340 0.24959 0.000981496
7360 0.250002 0.00190007
7380 0.249865 -0.00116273
7400 0.249908 0.00129508
7420 0.249958 -0.000311487
7440 0.249829 -0.00101977
7460 0.249871 0.000607854
7480 0.249741 -0.000279044
7500 0.249684 -0.000286165
7520 0.249941 -0.00114163
7540 0.249747 0.000301097
7560 0.249867 -0.00119526
7580 0.249778 0.000378855
7600 0.250035 -0.000604666
7620 0.249678 0.00280622
7640 0.249779 0.000462679
7660 0.249925 -0.00119575
7680 0.250034 0.00118207
7700 0.249838 0.000394219
7720 0.249881 -0.00243667
7740 0.2498 0.000438379
7760 0.249791 -0.00376127
7780 0.249855 -0.00055395
7800 0.249894 -0.00287972
7820 0.249914 -0.00197293
7840 0.249647 0.000757787
7860 0.250103 0.0014787
7880 0.249993 0.00105146
7900 0.249795 0.000291327
7920 0.249654 -0.00028907
7940 0.250117 0.000295854
7960 0.249714 -0.000103735
7980 0.249882 -0.000997899
8000 0.249857 -0.000579228
8020 0.249857 0.000758998
8040 0.250004 -0.00196311
8060 0.249736 -3.8649e-06
8080 0.249631 -0.00119123
8100 0.249846 -0.000318639
8120 0.249716 0.000930788
8140 0.249936 -0.00118923
8160 0.249771 0.000868107
8180 0.24985 0.00210232
8200 0.249936 0.00334928
8220 0.25005 -0.000247154
8240 0.249957 0.000102379
8260 0.249738 0.00138366
8280 0.249863 -0.000895408
8300 0.249715 0.00084832
8320 0.249548 0.000602491
8340 0.249736 -0.000648179
8360 0.249985 0.00219931
8380 0.249795 -0.000435317
8400 0.249756 -0.0001771
8420 0.250002 0.000602847
8440 0.249986 0.00116027
8460 0.249734 0.000513336
8480 0.249906 -0.000702207
8500 0.249825 0.00136697
8520 0.24958 -0.00209499
8540 0.250006 -0.00163145
8560 0.249816 0.000717465
8580 0.249713 0.00198285
8600 0.249888 -0.000642802
8620 0.249624 0.00121122
8640 0.249791 0.000980334
8660 0.249834 0.000494891
8680 0.249739 -8.82386e-05
8700 0.24974 -0.00145438
8720 0.249959 -0.000492662
8740 0.24986 -0.000854074
8760 0.250031 0.000880015
8780 0.249817 -0.00359715
8800 0.249881 0.000265729
8820 0.249802 0.000714521
8840 0.249798 -0.000308548
8860 0.249641 0.000788479
8880 0.249928 0.000748713
8900 0.24971 -0.000458327
8920 0.249924 -0.00155957
8940 0.24995 -0.00127742
8960 0.249923 0.00175477
8980 0.249763 0.0036418
9000 0.249707 -0.00143863
9020 0.249969 -0.00173083
9040 0.249694 -0.000409619
9060 0.250064 -6.15935e-05
9080 0.249998 -0.000120266
9100 0.249875 -0.00124083
9120 0.249755 -0.00195866
9140 0.249884 0.00110839
9160 0.249966 0.00290998
9180 0.249875 0.00229116
9200 0.249981 0.000225507
9220 0.24988 0.00100902
9240 0.249925 -0.00076685
9260 0.249744 -0.00136609
9280 0.249934 -1.30259e-05
9300 0.249917 -0.000362625
9320 0.249795 -0.000774198
9340 0.249806 0.00147196
9360 0.249934 0.00161206
9380 0.2499 -0.000717862
9400 0.249811 0.00217706
9420 0.249848 -0.000695398
9440 0.249631 0.00223167
9460 0.2499 -9.27959e-05
9480 0.249922 -0.00242105
9500 0.249974 -0.000234343
9520 0.24999 -0.000178636
9540 0.249743 -0.000170375
9560 0.249615 -0.00074369
9580 0.249826 -0.00274497
9600 0.249965 -0.00118239
9620 0.249777 -0.00101458
9640 0.250121 -0.00222921
9660 0.24969 0.000660068
9680 0.249686 -0.00020486
9700 0.249843 0.000817437
9720 0.249973 3.70004e-05
9740 0.24993 0.000939859
9760 0.250073 0.000645596
9780 0.249971 -0.000418247
9800 0.249729 0.00132061
9820 0.249831 0.00261529
9840 0.249892 -0.000448541
9860 0.249702 -0.000193686
9880 0.249794 0.00100615
9900 0.250006 0.00151223
9920 0.249913 0.00279073
9940 0.249831 0.000308122
9960 0.249722 -0.000833817
9980 0.24982 0.000419241
10000 0.249958 0.00161846
10020 0.249904 0.00136091
10040 0.249636 -0.000545304
10060 0.249797 -0.000654134
10080 0.249951 -0.000268368
10100 0.249946 -0.0014645
10120 0.249905 0.000520756
10140 0.249903 -0.00151407
10160 0.249965 0.00031769
10180 0.249783 6.31945e-07
10200 0.250027 0.00125936
10220 0.249725 0.00161947
10240 0.249775 -8.99518e-05
10260 0.249932 0.0023405
10280 0.249887 -0.000612969
10300 0.249818 0.00101951
10320 0.249954 0.000260255
10340 0.249875 4.9561e-05
10360 0.249746 -0.000113191
10380 0.249859 -0.00246259
10400 0.250028 -0.0022943
10420 0.249788 -0.000422228
10440 0.249753 0.000430735
10460 0.250012 -0.000153061
10480 0.249667 0.00179273
10500 0.249887 -0.000506662
10520 0.249755 0.00168452
10540 0.250064 0.00170045
10560 0.249759 -0.00062005
10580 0.249919 -0.000328565
10600 0.249623 0.000547054
10620 0.250093 0.000637454
10640 0.250034 0.000635426
10660 0.250017 -0.000737151
10680 0.249907 -0.000500023
10700 0.249725 -0.000292647
10720 0.250036 -0.00277307
10740 0.249762 -0.00103144
10760 0.250032 -0.00057771
10780 0.249751 -0.000856467
10800 0.25004 0.000751071
10820 0.249752 0.00278423
10840 0.249678 -0.00237749
10860 0.249681 -0.0015995
10880 0.249786 -0.000601499
10900 0.249755 0.000944577
10920 0.249836 0.0011997
10940 0.249899 0.00421378
10960 0.249673 -0.000673611
10980 0.249981 0.00215145
11000 0.250098 -0.000242504
11020 0.249732 0.00247835
11040 0.249872 -0.00114543
11060 0.249745 -7.74888e-05
11080 0.249812 -0.000326344
11100 0.25003 -0.000154085
11120 0.249851 -0.0027447
11140 0.249945 -0.000643761
11160 0.249955 0.00175076
11180 0.249773 -0.000315751
11200 0.249658 0.000608864
11220 0.249595 -4.26249e-05
11240 0.249731 0.000867596
11260 0.249741 -0.000256503
11280 0.249731 -0.000673361
11300 0.24984 -0.000812893
11320 0.249746 -0.00178285
11340 0.249781 -0.000690574
11360 0.249825 -0.000544391
11380 0.249836 -0.000806576
11400 0.249951 0.000415297
11420 0.249781 0.000498867
11440 0.249769 0.000396922
11460 0.249889 -0.00148328
11480 0.249642 -0.000665689
11500 0.249978 -0.000549832
11520 0.249841 -6.8745e-05
11540 0.249835 -0.00189567
11560 0.250041 -0.000828169
11580 0.250029 0.00213916
11600 0.249551 3.82372e-05
11620 0.249792 -0.000764575
11640 0.250024 -0.00215318
11660 0.250094 -0.00190984
11680 0.249641 -0.000552811
11700 0.249909 -0.00154645
11720 0.249443 0.00216584
11740 0.249911 0.00252183
11760 0.249833 -0.00105118
11780 0.250076 0.000549189
11800 0.24992 0.000496458
11820 0.249946 0.00220674
11840 0.249791 0.000578158
11860 0.249826 0.000799892
11880 0.249928 -0.000714936
11900 0.24985 0.00162068
11920 0.24976 -0.000333866
11940 0.249892 -0.000273005
11960 0.249887 -0.00119897
11980 0.249924 -0.00190394
12000 0.249723 0.00265949
12020 0.249824 -0.000136717
12040 0.249936 4.6008e-05
12060 0.25003 0.000430867
12080 0.249921 2.43924e-05
12100 0.249863 -0.00135976
12120 0.249914 -9.42591e-05
12140 0.249876 -0.000106498
12160 0.249939 -0.000173058
12180 0.250101 0.00106119
12200 0.249735 0.00345229
12220 0.24976 -0.00121526
12240 0.249896 0.00108824
12260 0.249913 -0.000914142
12280 0.250059 -6.47756e-05
12300 0.249936 -0.00250614
12320 0.250001 0.00372602
12340 0.249771 0.00194143
12360 0.249627 0.00258445
12380 0.249763 0.00180676
12400 0.250032 0.000170339
12420 0.250054 0.00178785
12440 0.249917 -0.000185896
12460 0.249986 -0.000341563
12480 0.250045 -0.000376882
12500 0.249643 0.000834191
12520 0.249918 -4.58458e-05
12540 0.249697 -0.00059254
12560 0.250031 -0.000589156
12580 0.249888 0.00244451
12600 0.250053 -0.000511514
12620 0.249794 -0.000732435
12640 0.24989 -0.000192405
12660 0.249928 -0.000403734
12680 0.249772 -0.00305227
12700 0.2498 -0.00178569
12720 0.249675 -0.000389889
12740 0.249952 0.000548781
12760 0.249668 0.00198628
12780 0.249749 -0.000304784
12800 0.249761 0.00176744
12820 0.249802 0.000278111
12840 0.249728 0.00119074
12860 0.249854 0.00239108
12880 0.250042 -0.00104745
12900 0.249883 0.00158569
12920 0.250028 -0.00267761
12940 0.249921 0.000597432
12960 0.250092 -0.000604778
12980 0.24984 9.13406e-05
13000 0.249925 -0.000444087
13020 0.24958 -0.000706131
13040 0.249658 0.000851651
13060 0.249829 0.000491665
13080 0.250095 -6.02095e-05
13100 0.249844 0.000343708
13120 0.24962 -9.36929e-05
13140 0.249722 -0.00259919
13160 0.249684 0.000432613
13180 0.249688 0.00198687
13200 0.249826 0.000155118
13220 0.250098 0.00142014
13240 0.249692 -0.00091578
13260 0.250112 3.04445e-05
13280 0.249858 -0.00227646
13300 0.249772 0.00140569
13320 0.249708 -0.00120192
13340 0.249977 0.00120136
13360 0.249732 -0.00143484
13380 0.249673 -0.00136271
13400 0.249956 0.00124125
13420 0.249674 -0.000293144
13440 0.24984 -0.000422162
13460 0.249835 0.000451423
13480 0.249856 0.00145212
13500 0.249768 0.00037998
13520 0.249701 -0.000948557
13540 0.249849 0.000957602
13560 0.249597 7.76404e-05
13580 0.250032 0.000228486
13600 0.249811 -0.000880194
13620 0.249786 -0.000127307
13640 0.249919 0.00215604
13660 0.250015 -6.11642e-05
13680 0.249953 2.32522e-05
13700 0.249817 7.98002e-05
13720 0.249656 -0.00131522
13740 0.249842 -0.000149802
13760 0.250001 -0.00132053
13780 0.249866 0.000434971
13800 0.249852 -0.00102951
13820 0.249737 -0.00167121
13840 0.249836 9.60916e-05
13860 0.250105 -0.000136373
13880 0.249772 -0.000883339
13900 0.249841 -0.00033119
13920 0.249773 0.00132046
13940 0.249908 0.000504161
13960 0.249788 -0.00197899
13980 0.249795 -0.00206566
14000 0.249738 -0.000523997
14020 0.24997 -0.000731788
14040 0.24965 -0.0022035
14060 0.249828 0.000658273
14080 0.249917 0.00212599
14100 0.249809 0.00176395
14120 0.250085 -0.00112223
14140 0.249922 0.00257625
14160 0.249658 0.000686506
14180 0.249915 0.00072642
14200 0.249675 0.00255739
14220 0.249731 0.000105351
14240 0.249993 -0.0013892
14260 0.249821 0.000986265
14280 0.249992 -0.000887906
14300 0.249923 -0.00111969
14320 0.24996 -0.000270867
14340 0.249892 -0.00160452
14360 0.249786 -0.000575313
14380 0.249949 -0.0015787
14400 0.249867 -0.00147682
14420 0.249745 -0.00100867
14440 0.249908 -0.000646194
14460 0.24976 0.00136899
14480 0.249802 -0.000403606
14500 0.249888 0.00342506
14520 0.250024 0.000328908
14540 0.2497 -0.00057472
14560 0.249741 -0.000765929
14580 0.249934 -0.000590671
14600 0.249763 -0.000819272
14620 0.249576 -0.00245462
14640 0.250106 -0.00079668
14660 0.24972 -0.000521343
14680 0.249647 -0.000416792
14700 0.249564 0.0020072
14720 0.249725 0.000246513
14740 0.249515 -0.00122287
14760 0.249943 -0.000764847
14780 0.249911 0.00130778
14800 0.249816 -0.00100845
14820 0.250025 -0.000158837
14840 0.249776 0.0018088
14860 0.249936 -0.00142628
14880 0.249866 0.000140215
14900 0.249905 -0.000444691
14920 0.249852 0.00131167
14940 0.250039 -0.000329611
14960 0.249896 0.00179813
14980 0.249744 -0.00123827
15000 0.249834 -0.000831382
15020 0.249794 -0.00185698
15040 0.249821 1.64227e-05
15060 0.249844 0.000192914
15080 0.24997 -0.00246207
15100 0.249913 0.000803641
15120 0.249897 0.00234347
15140 0.249895 0.00156802
15160 0.249944 -0.00101002
15180 0.249647 -0.000713448
15200 0.24998 0.000654649
15220 0.249878 0.000709185
15240 0.249789 -0.000850746
15260 0.249994 -0.00188002
15280 0.249757 -0.00116917
15300 0.249548 -0.00059206
15320 0.249812 -0.0013991
15340 0.249789 0.000713483
15360 0.24977 0.00158522
15380 0.250012 -0.000444857
15400 0.249888 -0.000581656
15420 0.249809 0.000494999
15440 0.249897 0.0011312
15460 0.249921 0.00171232
15480 0.249799 0.000980633
15500 0.249813 -0.00130505
15520 0.249782 0.000818547
15540 0.249861 0.000172769
15560 0.249878 -0.00116755
15580 0.249932 0.00124597
15600 0.249708 0.00229868
15620 0.250033 0.000152147
15640 0.249833 0.00215598
15660 0.249861 -0.00118598
15680 0.249937 -0.00119015
15700 0.249793 0.000595422
15720 0.249849 -0.0022775
15740 0.249915 -0.000709666
15760 0.249774 0.00150156
15780 0.249964 -0.000944917
15800 0.249767 3.07587e-06
15820 0.249898 0.00169532
15840 0.249705 0.000395643
15860 0.249993 0.000309325
15880 0.249896 -0.000212106
15900 0.249841 -0.000863054
15920 0.249969 0.00024651
15940 0.249955 3.79388e-05
15960 0.249865 -0.00123169
15980 0.250077 -0.00179997
16000 0.249965 0.000942322
16020 0.249906 0.00134146
16040 0.249876 -0.00084127
16060 0.249765 2.66909e-05
16080 0.249931 -0.000653296
16100 0.249787 0.000226089
16120 0.249883 0.000604984
16140 0.249823 0.00269361
16160 0.249778 -0.00095294
16180 0.249775 0.00174401
16200 0.249897 0.000129902
16220 0.249681 0.000257246
16240 0.249784 0.00146791
16260 0.250098 0.00215792
16280 0.249996 -0.00124961
16300 0.249856 -0.00290809
16320 0.25 -0.000159216
16340 0.249943 -0.001283
16360 0.249847 -0.00116436
16380 0.249949 -0.00135709
16400 0.249876 -0.00188688
16420 0.249873 -0.000432193
16440 0.250093 0.00155491
16460 0.249838 0.00108523
16480 0.249832 -5.1717e-05
16500 0.249874 0.000217604
16520 0.249842 -0.000946316
16540 0.249954 0.00210878
16560 0.249832 0.00233593
16580 0.24972 -0.000912984
16600 0.24994 -0.000771672
16620 0.249882 -0.00191094
16640 0.249851 -0.00103571
16660 0.249874 -0.00133613
16680 0.249493 -0.000890875
16700 0.249809 -0.000864221
16720 0.249803 0.000848135
16740 0.2497 0.000796819
16760 0.249884 -0.000168583
16780 0.249902 -0.000689701
16800 0.249807 -0.00188013
16820 0.249735 0.00057754
16840 0.249987 0.0017336
16860 0.249835 -0.000399173
16880 0.249867 -0.00319492
16900 0.249737 0.000442497
16920 0.249763 -6.44684e-05
16940 0.249876 -0.000685311
16960 0.249902 0.000966795
16980 0.249959 0.000463134
17000 0.249958 -0.00079921
17020 0.249923 -0.00077377
17040 0.249937 0.00146921
17060 0.249659 -0.00148693
17080 0.249633 -0.00184683
17100 0.24978 2.52088e-05
17120 0.249652 -0.00177914
17140 0.250044 -0.00246609
17160 0.249926 -0.00171769
17180 0.249806 -0.000634323
17200 0.249786 0.00102981
17220 0.249991 0.000708511
17240 0.249956 -0.000371739
17260 0.249945 0.00188792
17280 0.249836 -0.000810687
17300 0.249825 -0.000442736
17320 0.249799 -0.000928536
17340 0.249821 -0.00163325
17360 0.249958 0.00181378
17380 0.249915 1.67987e-05
17400 0.249621 -0.000259558
17420 0.249909 6.92234e-05
17440 0.249782 -0.00015906
17460 0.249753 0.00173485
17480 0.249702 0.00160748
17500 0.249741 -2.57134e-06
17520 0.249875 9.15438e-05
17540 0.249993 -0.00151254
17560 0.249815 0.00413653
17580 0.249888 -0.00275417
17600 0.249914 0.000296009
17620 0.249888 -2.05092e-05
17640 0.250013 -0.000650999
17660 0.249916 -0.00134787
17680 0.249893 0.000134
17700 0.249852 0.000263194
17720 0.249711 0.000343949
17740 0.249684 0.00116775
17760 0.249886 0.00301629
17780 0.250168 0.00157476
17800 0.249908 0.000171198
17820 0.249712 -0.000337407
17840 0.249946 -0.000918484
17860 0.249697 -0.00180693
17880 0.249846 0.00330643
17900 0.249927 -0.000969855
17920 0.249825 -0.00152354
17940 0.249743 -0.00112566
17960 0.249986 4.0142e-05
17980 0.249901 0.000174345
18000 0.250027 -0.00164964
18020 0.249843 0.00187747
18040 0.249907 0.00176058
18060 0.249963 -0.00128568
18080 0.249942 0.000509439
18100 0.249959 -0.000692284
18120 0.250091 0.000369096
18140 0.249802 -0.000264435
18160 0.249859 -0.000377791
18180 0.249732 -0.0004529
18200 0.249957 7.24825e-05
18220 0.249942 -0.00110927
18240 0.249772 -0.000223197
18260 0.249876 -7.59391e-05
18280 0.249937 -0.00392129
18300 0.249988 1.64688e-05
18320 0.249789 -0.000808452
18340 0.249936 -0.00273039
18360 0.249779 -0.0014444
18380 0.249886 -0.000704547
18400 0.249812 -0.00156121
18420 0.249661 -0.00051771
18440 0.249891 0.00171191
18460 0.249855 -0.00144201
18480 0.249927 0.00118954
18500 0.249766 -0.00311487
18520 0.249929 0.000821842
18540 0.249909 0.00187292
18560 0.249867 -0.000230341
18580 0.249771 5.49341e-05
18600 0.249791 -0.00150468
18620 0.2498 0.000260406
18640 0.250032 0.000350098
18660 0.249725 -0.000200675
18680 0.249823 -0.0016021
18700 0.249949 -0.00187179
18720 0.249575 -0.00223075
18740 0.249675 0.00100266
18760 0.250066 -6.26853e-05
18780 0.249874 0.00156325
18800 0.250064 -0.000274839
18820 0.249887 -0.00149103
18840 0.249716 0.00115861
18860 0.249903 -0.001269
18880 0.249647 -0.000727158
18900 0.249705 -0.00124568
18920 0.24985 -0.00039068
18940 0.249949 0.00157755
18960 0.249733 -0.00126362
18980 0.249882 0.00223243
19000 0.249685 -0.002431
19020 0.249818 -0.00282464
19040 0.249799 -0.00112443
19060 0.249882 -0.000284956
19080 0.249856 -0.00125436
19100 0.250055 0.000675481
19120 0.249837 0.000257204
19140 0.249843 -0.00162122
