thread offset unicorr gausscorr
2 160 0.258511 -0.0122102
2 180 0.256992 0.0563747
2 200 0.259753 -0.0281134
2 220 0.259333 0.0295346
2 240 0.26016 0.0744339
2 260 0.259044 -0.0504388
2 280 0.260581 -0.0220325
2 300 0.25691 0.0224498
2 320 0.260861 -0.0416269
2 340 0.258504 0.00114102
2 360 0.249684 0.0109537
2 380 0.263221 0.0570162
2 400 0.254241 -0.0670927
2 420 0.265893 0.0952893
2 440 0.260126 -0.0471864
2 460 0.268537 -0.0495072
2 480 0.256583 -0.0132842
2 500 0.255398 -0.085761
2 520 0.255535 0.0255016
2 540 0.251765 0.0591132
2 560 0.25793 -0.053131
2 580 0.256206 -0.0470645
2 600 0.256964 -0.0786544
2 620 0.262485 0.0498671
2 640 0.261955 -0.0661986
2 660 0.256479 0.0271392
2 680 0.251533 -0.00164484
2 700 0.246553 -0.0889044
2 720 0.254788 0.135561
2 740 0.245102 -0.0465682
2 760 0.256505 -0.089695
2 780 0.257439 -0.0254275
2 800 0.265 -0.00731077
2 820 0.271573 0.0510569
2 840 0.271012 0.154206
2 860 0.270307 0.122609
2 880 0.268487 -0.0233191
2 900 0.260444 -0.202
2 920 0.252157 -0.0571148
2 940 0.263758 0.0867394
2 960 0.268506 0.11823
2 980 0.266041 -0.100108
3 20 0.250074 -0.0480831
3 40 0.256923 -0.0328788
3 60 0.256964 -0.00951446
3 80 0.255335 -0.00267957
3 100 0.251721 0.0276721
3 120 0.256737 -0.0458852
3 140 0.260666 -0.0184444
3 160 0.258687 -0.00747202
3 180 0.258267 0.022027
3 200 0.26281 0.0391327
3 220 0.251694 -0.0572608
3 240 0.257877 0.0331125
3 260 0.257463 0.0463725
3 280 0.259187 -0.011038
3 300 0.251339 0.00550193
3 320 0.250584 -0.0293171
3 340 0.258015 -0.0414822
3 360 0.256709 -0.0436387
3 380 0.254494 -0.0310658
3 400 0.263765 0.0274015
3 420 0.257201 0.0651856
3 440 0.260108 -0.0428837
3 460 0.256045 0.0286814
3 480 0.252398 -0.00833853
3 500 0.255717 -0.0154608
3 520 0.248522 0.00170949
3 540 0.257823 -0.00376631
3 560 0.253434 -0.027811
3 580 0.251619 -0.10941
3 600 0.249997 0.0845187
3 620 0.247797 0.0594611
3 640 0.246394 -0.0370035
3 660 0.249614 0.00830764
3 680 0.247985 0.0355595
3 700 0.245732 0.0325494
3 720 0.250273 -0.0165928
3 740 0.247641 -0.085052
3 760 0.237727 -0.0456247
3 780 0.251901 -0.0587069
3 800 0.237551 -0.00387105
3 820 0.243481 -0.00316918
3 840 0.235406 -0.078331
3 860 0.231823 0.0889677
3 880 0.2576 0.0712064
3 900 0.251531 -0.109857
3 920 0.253413 -0.0354697
3 940 0.262607 0.138558
3 960 0.248336 0.0356622
3 980 0.348655 0.125843
4 20 0.246449 0.0193664
4 40 0.24539 -0.0173068
4 60 0.249361 0.013601
4 80 0.246844 0.00410043
4 100 0.241129 -0.0147357
4 120 0.24601 0.0360571
4 140 0.247276 0.0399311
4 160 0.252663 0.0101592
4 180 0.2471 0.0190672
4 200 0.247706 0.00286204
4 220 0.251742 0.0187643
4 240 0.248334 0.0094517
4 260 0.247848 0.0117453
4 280 0.248654 0.0199123
4 300 0.250506 0.0244664
4 320 0.2483 0.00704717
4 340 0.251969 0.00967906
4 360 0.250738 -0.00401438
4 380 0.248583 0.0484643
4 400 0.248947 0.0259425
4 420 0.253775 -0.0326287
4 440 0.242375 -0.0322643
4 460 0.246283 -0.0284997
4 480 0.245625 0.0894026
4 500 0.250206 0.00116279
4 520 0.246417 0.043003
4 540 0.247902 -0.0186851
4 560 0.247722 -0.0355078
4 580 0.249279 0.0151851
4 600 0.239077 0.0458744
4 620 0.239693 0.0205107
4 640 0.247998 0.037131
4 660 0.243894 -0.0235449
4 680 0.239709 0.012423
4 700 0.240826 0.0315643
4 720 0.23274 0.00687087
4 740 0.23721 -0.0213459
4 760 0.240282 0.0983704
4 780 0.245571 0.00734624
4 800 0.255037 0.0118977
4 820 0.242316 0.0885906
4 840 0.249386 0.0871217
4 860 0.256209 0.138753
4 880 0.258812 0.121247
4 900 0.246181 0.144127
4 920 0.280151 -0.0394151
4 940 0.26453 0.281668
4 960 0.231904 0.390771
4 980 0.263506 -0.0926808
5 20 0.245943 0.0485347
5 40 0.241121 -0.0142859
5 60 0.244486 0.0163194
5 80 0.241496 0.0729878
5 100 0.243903 0.0027812
5 120 0.241362 -0.0948409
5 140 0.244525 0.0241194
5 160 0.245968 0.0137735
5 180 0.239419 -0.0579663
5 200 0.242636 0.0297732
5 220 0.247075 0.00375292
5 240 0.239291 0.0482225
5 260 0.245443 0.0247137
5 280 0.243293 0.0174549
5 300 0.243704 -0.0581512
5 320 0.251298 0.0303902
5 340 0.247464 -0.0257251
5 360 0.240357 0.0193505
5 380 0.246727 -0.048602
5 400 0.239039 0.0403896
5 420 0.242803 -0.0219839
5 440 0.24226 0.0280831
5 460 0.242503 0.0293534
5 480 0.245212 0.0175167
5 500 0.239592 -0.0415046
5 520 0.252182 -0.0550484
5 540 0.250152 -0.00187978
5 560 0.247021 0.0386686
5 580 0.242433 0.0685717
5 600 0.244421 0.0835973
5 620 0.245222 0.0557459
5 640 0.239055 0.116227
5 660 0.244528 -0.0117943
5 680 0.246228 0.0298784
5 700 0.243631 0.0879267
5 720 0.244734 0.0306064
5 740 0.252718 0.00530106
5 760 0.253644 0.0574109
5 780 0.247463 -0.000756282
5 800 0.249276 0.09695
5 820 0.248733 -0.0221268
5 840 0.242073 -0.0389437
5 860 0.24298 -0.0728845
5 880 0.248201 0.105725
5 900 0.243505 -0.107504
5 920 0.234422 0.105766
5 940 0.244835 0.0435623
5 960 0.222714 0.0237396
5 980 0.196039 -0.201576
6 20 0.260079 -0.00178019
6 40 0.262311 0.0285879
6 60 0.258611 -0.00297952
6 80 0.258573 -0.0280326
6 100 0.257453 -0.0071435
6 120 0.26152 -0.000256226
6 140 0.25775 0.0373599
6 160 0.254688 0.00985493
6 180 0.257617 -0.0071408
6 200 0.254835 -0.0154323
6 220 0.252676 -0.0161648
6 240 0.258993 0.018278
6 260 0.25879 0.00915286
6 280 0.263179 0.00628571
6 300 0.255845 0.0266904
6 320 0.259105 0.0721725
6 340 0.253669 -0.0159702
6 360 0.257505 0.0267788
6 380 0.254449 -0.003364
6 400 0.261766 0.00688132
6 420 0.267105 0.0128782
6 440 0.258156 0.0409266
6 460 0.255451 -0.064947
6 480 0.256267 -0.036004
6 500 0.256814 0.0366649
6 520 0.260175 0.0293671
6 540 0.25921 -0.100642
6 560 0.251307 0.0234101
6 580 0.252526 0.0151139
6 600 0.261123 0.0141494
6 620 0.253358 0.0219432
6 640 0.257406 0.0227229
6 660 0.263976 -0.0586987
6 680 0.264752 -0.052002
6 700 0.266483 -0.0765622
6 720 0.260212 0.106328
6 740 0.246188 -0.00610347
6 760 0.25147 0.10919
6 780 0.258214 -0.0665071
6 800 0.259227 0.0604167
6 820 0.262428 -0.0284787
6 840 0.256897 0.0291331
6 860 0.25184 -0.0364953
6 880 0.246761 0.150745
6 900 0.252673 -0.10481
6 920 0.254182 0.154558
6 940 0.255158 0.108514
6 960 0.230153 -0.198832
6 980 0.210711 0.26529
7 20 0.238526 0.039676
7 40 0.237905 -0.0021651
7 60 0.233574 -0.0271148
7 80 0.237951 0.0344279
7 100 0.241576 0.0121297
7 120 0.234211 0.00420797
7 140 0.23249 0.0285528
7 160 0.236699 0.0530211
7 180 0.235588 -0.00969739
7 200 0.23718 0.0214805
7 220 0.234702 -0.0548956
7 240 0.240332 -0.0219773
7 260 0.235191 0.0489971
7 280 0.234523 0.00946166
7 300 0.240123 -0.0235699
7 320 0.241808 -0.00957244
7 340 0.240029 0.00997218
7 360 0.232612 -0.0278375
7 380 0.235911 0.00648684
7 400 0.238907 0.0320574
7 420 0.23451 0.0814366
7 440 0.231695 0.0272341
7 460 0.229663 0.00592815
7 480 0.236924 0.0246771
7 500 0.240161 -0.0409146
7 520 0.242229 0.0165712
7 540 0.236484 0.0122208
7 560 0.235837 -0.0488684
7 580 0.241667 0.0365844
7 600 0.228468 0.027974
7 620 0.22599 0.0633533
7 640 0.235576 -0.0484366
7 660 0.233624 -0.0684058
7 680 0.233188 0.0172708
7 700 0.226629 -0.142539
7 720 0.225332 0.012109
7 740 0.227228 -0.0680633
7 760 0.229648 -0.0895069
7 780 0.238813 -0.0831131
7 800 0.224696 -0.0705513
7 820 0.232916 0.00166174
7 840 0.222684 0.0722978
7 860 0.253762 -0.0449643
7 880 0.23179 -0.0358409
7 900 0.218757 0.0765658
7 920 0.232074 -0.0268916
7 940 0.214838 -0.150087
7 960 0.268471 0.202813
7 980 0.328372 0.162077
8 20 0.260891 -0.0130695
8 40 0.259353 0.00989195
8 60 0.259427 -0.00585954
8 80 0.263191 -0.0767808
8 100 0.260006 0.00673115
8 120 0.259991 -0.00467412
8 140 0.261327 0.0628561
8 160 0.263865 0.0499465
8 180 0.26145 0.0113103
8 200 0.261461 0.0358199
8 220 0.266364 -0.00770582
8 240 0.261003 -0.0490632
8 260 0.261306 -0.00213243
8 280 0.262078 0.0146419
8 300 0.263347 -0.00233323
8 320 0.264941 0.0344545
8 340 0.264444 0.0185192
8 360 0.263708 -0.00247194
8 380 0.265668 -0.015017
8 400 0.266928 -0.0345577
8 420 0.265577 0.058566
8 440 0.260846 -0.0563546
8 460 0.265449 -0.0217267
8 480 0.263722 -0.0038267
8 500 0.266201 0.0251155
8 520 0.263998 0.109383
8 540 0.26553 -0.00950381
8 560 0.270244 -0.0490399
8 580 0.270602 -0.0446084
8 600 0.259436 0.0533122
8 620 0.272545 0.0598869
8 640 0.26398 0.0129166
8 660 0.254161 0.00770286
8 680 0.253158 0.0973111
8 700 0.259647 -0.143664
8 720 0.273946 0.0666197
8 740 0.271476 0.0456915
8 760 0.283454 -0.0640682
8 780 0.274856 0.0337448
8 800 0.277826 0.0241832
8 820 0.281928 0.0506529
8 840 0.261429 -0.147737
8 860 0.29007 0.0274402
8 880 0.265022 0.07887
8 900 0.28707 -0.154719
8 920 0.290838 0.0782803
8 940 0.290152 0.0832011
8 960 0.280835 -0.112536
8 980 0.332812 -0.32541
9 20 0.253664 -0.0617969
9 40 0.251141 -0.048364
9 60 0.248211 0.0411377
9 80 0.255179 -0.0414187
9 100 0.247561 0.0337987
9 120 0.249292 -0.00631694
9 140 0.254801 -0.0249817
9 160 0.255729 0.0231037
9 180 0.247663 0.0227575
9 200 0.252632 0.0240506
9 220 0.254094 0.00594969
9 240 0.25544 -0.0172201
9 260 0.250785 0.0162823
9 280 0.251897 0.00380801
9 300 0.254846 0.0160627
9 320 0.248346 0.00983901
9 340 0.254809 -0.00665914
9 360 0.254759 0.00304457
9 380 0.255262 -0.0293014
9 400 0.2573 0.0717855
9 420 0.254237 -0.0735329
9 440 0.250718 -0.0246305
9 460 0.251317 0.0216443
9 480 0.251118 -0.0575056
9 500 0.260259 0.0829087
9 520 0.250847 -0.0124833
9 540 0.254427 0.0161147
9 560 0.249052 0.00557381
9 580 0.252932 0.0251354
9 600 0.255516 -0.00259511
9 620 0.26443 -0.0566393
9 640 0.258623 0.0562861
9 660 0.255738 -0.000371137
9 680 0.253945 -0.0374261
9 700 0.261713 0.0399148
9 720 0.259073 0.0600934
9 740 0.26008 -0.0947101
9 760 0.255822 0.0805794
9 780 0.25074 0.114965
9 800 0.260952 0.0145444
9 820 0.25428 -0.0442428
9 840 0.264264 0.0779801
9 860 0.259215 -0.109491
9 880 0.278659 0.0118361
9 900 0.296433 0.046863
9 920 0.29325 -0.0261962
9 940 0.297389 -0.218597
9 960 0.27597 -0.131297
9 980 0.265009 0.578203
10 20 0.251951 -0.0552582
10 40 0.255431 -0.0273293
10 60 0.258965 0.00304727
10 80 0.256779 -0.0100287
10 100 0.249914 -0.00292538
10 120 0.253603 0.0123656
10 140 0.255273 0.0280934
10 160 0.259461 -0.0180337
10 180 0.256945 0.0229513
10 200 0.26001 -0.0512117
10 220 0.257365 0.048732
10 240 0.258677 0.0331558
10 260 0.251249 -0.0698202
10 280 0.25914 -0.0326734
10 300 0.259913 -0.0128693
10 320 0.260977 0.0594203
10 340 0.250193 -0.0345204
10 360 0.268274 -0.0607967
10 380 0.26217 -0.025073
10 400 0.2589 0.0149223
10 420 0.266629 -0.046701
10 440 0.263331 -0.0278092
10 460 0.251139 0.0108071
10 480 0.261665 0.00673354
10 500 0.253106 -0.0309823
10 520 0.250624 0.00180026
10 540 0.24832 0.0943147
10 560 0.243094 0.00984384
10 580 0.239183 0.121282
10 600 0.242084 0.0254387
10 620 0.23372 0.0152186
10 640 0.237483 -0.0275092
10 660 0.234434 -0.0420501
10 680 0.243604 -0.00314982
10 700 0.235633 0.0845061
10 720 0.24355 0.00374955
10 740 0.235439 -0.10873
10 760 0.241221 -0.0276845
10 780 0.229037 -0.0392095
10 800 0.243736 0.0341351
10 820 0.230723 -0.00814971
10 840 0.233055 0.0829334
10 860 0.222257 -0.035943
10 880 0.22035 -0.0875609
10 900 0.240564 -0.0851094
10 920 0.254489 0.0759607
10 940 0.229056 -0.0749866
10 960 0.223746 0.175609
10 980 0.245957 0.0640417
11 20 0.249252 -0.0440712
11 40 0.250507 0.0190801
11 60 0.252209 -0.0020491
11 80 0.248528 0.0707573
11 100 0.249605 -0.0111006
11 120 0.247997 0.0128487
11 140 0.25103 0.00365827
11 160 0.252899 -0.026503
11 180 0.251463 -0.0448531
11 200 0.249953 0.0247669
11 220 0.247453 0.00268395
11 240 0.2454 0.0573242
11 260 0.247983 0.00569178
11 280 0.248147 0.0849719
11 300 0.251705 0.0369061
11 320 0.246202 0.0722687
11 340 0.242991 0.0112809
11 360 0.249012 0.0139284
11 380 0.247749 -0.0550137
11 400 0.251432 0.0261005
11 420 0.242369 -0.0289905
11 440 0.247316 -0.0400593
11 460 0.247117 -0.0482749
11 480 0.247974 -0.0392499
11 500 0.249528 0.0271846
11 520 0.255203 0.0704107
11 540 0.25004 -0.0463483
11 560 0.24849 0.0181274
11 580 0.252793 -0.0608311
11 600 0.249405 -0.0283157
11 620 0.244302 -0.0195288
11 640 0.249475 0.0160702
11 660 0.250132 -0.0445769
11 680 0.257418 -0.0795485
11 700 0.246529 -0.0601699
11 720 0.245544 -0.0133119
11 740 0.251463 -0.0992828
11 760 0.242694 -0.0353002
11 780 0.257677 -0.000978209
11 800 0.25558 0.00665027
11 820 0.244979 -0.0199493
11 840 0.254978 0.0267174
11 860 0.242027 0.062535
11 880 0.246745 0.0381242
11 900 0.242888 0.0737799
11 920 0.259313 -0.0628835
11 940 0.264025 -0.242477
11 960 0.255411 -0.138985
11 980 0.2601 -0.108994
12 20 0.233057 -0.00142243
12 40 0.240573 -0.0140996
12 60 0.236899 -0.034807
12 80 0.237679 0.0290715
12 100 0.235617 0.0357835
12 120 0.241641 -0.0202915
12 140 0.238051 0.0132169
12 160 0.238324 -0.0541512
12 180 0.233105 0.074555
12 200 0.236461 -0.0103941
12 220 0.23669 -0.0146596
12 240 0.234877 0.0189363
12 260 0.240186 0.0125411
12 280 0.23472 0.00893525
12 300 0.232289 0.015248
12 320 0.241096 0.0205722
12 340 0.233821 -0.0626146
12 360 0.232682 -0.0221504
12 380 0.234924 0.0840044
12 400 0.238053 0.0317113
12 420 0.230309 0.0336289
12 440 0.232563 0.0435065
12 460 0.236762 -0.0594147
12 480 0.233677 -0.00167905
12 500 0.238014 0.0398869
12 520 0.238163 0.0387344
12 540 0.240281 -0.0729044
12 560 0.23222 -0.0841642
12 580 0.237205 -0.0131315
12 600 0.238251 0.00635106
12 620 0.23567 0.0383008
12 640 0.244684 -0.051311
12 660 0.24194 0.0261237
12 680 0.228657 -0.0468782
12 700 0.238016 0.00970037
12 720 0.240662 -0.0480505
12 740 0.225988 0.0787204
12 760 0.233504 0.0255047
12 780 0.227393 0.0389665
12 800 0.226478 -0.105792
12 820 0.227481 -0.0384925
12 840 0.231957 -0.0378188
12 860 0.203035 -0.0628778
12 880 0.207688 0.0595443
12 900 0.211245 -0.0494884
12 920 0.206591 -0.230745
12 940 0.192024 -0.104722
12 960 0.190178 -0.0449714
12 980 0.113307 -0.0155363
13 20 0.254336 0.051651
13 40 0.25183 -0.0141707
13 60 0.257979 -0.0436296
13 80 0.250609 -0.0168511
13 100 0.260539 -0.00127373
13 120 0.254996 -0.0106973
13 140 0.255477 -0.0159691
13 160 0.256758 0.0404671
13 180 0.256897 0.00239347
13 200 0.256717 -0.0260182
13 220 0.253907 0.048408
13 240 0.255129 -0.0259113
13 260 0.25052 0.032299
13 280 0.253199 0.00162621
13 300 0.2518 -0.0522981
13 320 0.255083 -0.0470648
13 340 0.251252 0.0139462
13 360 0.248172 0.0021627
13 380 0.25141 0.0358386
13 400 0.245709 -0.0386762
13 420 0.248704 0.00915687
13 440 0.248928 -0.0237806
13 460 0.249295 -0.0254424
13 480 0.251011 0.0745952
13 500 0.254437 0.037027
13 520 0.259459 0.0079175
13 540 0.260576 0.0474553
13 560 0.256185 -0.0247963
13 580 0.251644 0.0397315
13 600 0.253446 -0.0432885
13 620 0.262593 -0.0102519
13 640 0.259354 0.038858
13 660 0.264693 -0.0198566
13 680 0.250187 -0.00160585
13 700 0.261751 0.0326634
13 720 0.255071 0.0123668
13 740 0.249473 -0.0111872
13 760 0.264024 0.0218173
13 780 0.255505 0.0834855
13 800 0.247573 -0.0237327
13 820 0.253636 -0.030967
13 840 0.233513 -0.113331
13 860 0.239808 0.0530161
13 880 0.248569 -0.0090558
13 900 0.247213 0.0401359
13 920 0.273605 -0.00340959
13 940 0.25004 0.229526
13 960 0.258382 0.16084
13 980 0.261081 -0.324693
14 20 0.26306 0.0366945
14 40 0.266798 0.0114321
14 60 0.267327 0.0154116
14 80 0.264562 0.000777809
14 100 0.268696 0.00704965
14 120 0.267304 -0.000964644
14 140 0.26499 0.00616849
14 160 0.267985 -0.0234516
14 180 0.267749 -0.034595
14 200 0.263599 -0.0109973
14 220 0.263027 0.0326676
14 240 0.268471 -0.0583363
14 260 0.267271 0.0156831
14 280 0.263215 0.0312921
14 300 0.268936 -0.0110011
14 320 0.266601 -0.00432232
14 340 0.263738 0.0496594
14 360 0.26235 -0.0265061
14 380 0.27277 -0.0714673
14 400 0.269102 0.00371782
14 420 0.2608 0.0418087
14 440 0.263789 0.0096868
14 460 0.261954 -0.0556897
14 480 0.265854 -0.0048809
14 500 0.270333 -0.100629
14 520 0.265766 -0.0251858
14 540 0.265504 0.028923
14 560 0.272183 0.0395525
14 580 0.260146 -0.0427511
14 600 0.260927 0.0345627
14 620 0.265697 0.0748817
14 640 0.2651 -0.0142625
14 660 0.26978 -0.0584178
14 680 0.252949 -0.0651079
14 700 0.257805 -0.0845316
14 720 0.256097 -0.0743901
14 740 0.259759 -0.0728507
14 760 0.26051 0.186952
14 780 0.253869 0.0434297
14 800 0.238259 -0.129059
14 820 0.251193 -0.0189713
14 840 0.256284 0.0182174
14 860 0.26133 0.00866221
14 880 0.248734 0.0679651
14 900 0.254583 -0.0386135
14 920 0.248687 -0.199915
14 940 0.245277 0.0445193
14 960 0.262349 0.142052
14 980 0.186653 -0.141304
15 20 0.255059 -0.0548754
15 40 0.259069 0.00682709
15 60 0.258477 -0.0283114
15 80 0.253696 -0.0743038
15 100 0.249591 -0.00408775
15 120 0.259233 0.0323015
15 140 0.254825 -0.0164668
15 160 0.256256 0.0111969
15 180 0.254499 -0.0478256
15 200 0.260514 0.0398079
15 220 0.264732 0.0389365
15 240 0.260986 -0.0392667
15 260 0.258875 0.0185039
15 280 0.25623 0.0274783
15 300 0.259158 0.106109
15 320 0.256485 -0.0247703
15 340 0.264059 -0.0123403
15 360 0.257979 0.020924
15 380 0.255683 -0.0420578
15 400 0.259501 0.00529822
15 420 0.257447 0.0239713
15 440 0.258461 -0.0716702
15 460 0.257188 0.0134323
15 480 0.261252 -0.0210192
15 500 0.256456 -0.0235053
15 520 0.259499 0.0144953
15 540 0.253784 -0.00416929
15 560 0.25119 0.0749191
15 580 0.249699 -0.00360487
15 600 0.250438 0.0035938
15 620 0.250867 -0.0330524
15 640 0.25467 -0.0208409
15 660 0.257217 0.00627108
15 680 0.252969 -0.0126733
15 700 0.251583 -0.0988262
15 720 0.245146 -0.0364123
15 740 0.238974 -0.106607
15 760 0.238853 -0.0249065
15 780 0.232154 0.0375239
15 800 0.250714 0.0581238
15 820 0.24916 -0.0544413
15 840 0.260978 -0.0175487
15 860 0.246142 0.0598542
15 880 0.253681 -0.108598
15 900 0.253249 -0.0275317
15 920 0.238988 -0.0171227
15 940 0.220846 -0.0199526
15 960 0.204327 -0.281293
15 980 0.258604 0.0957558
16 20 0.242281 -0.0195922
16 40 0.243596 0.0380343
16 60 0.243332 -0.0147851
16 80 0.249756 0.0151143
16 100 0.249222 -0.00591054
16 120 0.241101 -0.0276824
16 140 0.245627 0.0121749
16 160 0.246967 0.00337901
16 180 0.249344 -0.00954655
16 200 0.240792 0.0239514
16 220 0.237741 0.0611892
16 240 0.241584 0.029348
16 260 0.243364 -0.0253208
16 280 0.247433 -0.0157661
16 300 0.245624 -0.0640172
16 320 0.24294 -0.0058531
16 340 0.24987 0.0264358
16 360 0.249262 -0.0142745
16 380 0.249274 -0.123288
16 400 0.241962 0.0305596
16 420 0.250744 0.0708096
16 440 0.250169 0.0190752
16 460 0.242052 -0.0291907
16 480 0.241567 0.051133
16 500 0.245878 0.000878617
16 520 0.245689 0.00618454
16 540 0.237674 0.0378352
16 560 0.2352 0.00156924
16 580 0.23973 -0.0329112
16 600 0.238104 0.00515494
16 620 0.231024 0.0939013
16 640 0.238709 -0.00651382
16 660 0.241063 0.102037
16 680 0.240074 0.0856339
16 700 0.243027 0.0495658
16 720 0.236657 -0.0191447
16 740 0.249561 0.0419466
16 760 0.253692 0.0382246
16 780 0.239442 -0.0544333
16 800 0.232278 0.0154348
16 820 0.243749 0.0661934
16 840 0.234522 -0.0101024
16 860 0.250309 0.0683213
16 880 0.259365 0.0559096
16 900 0.245126 -0.000980225
16 920 0.214775 0.0457477
16 940 0.207328 -0.140163
16 960 0.232481 -0.00833021
16 980 0.220001 -0.3961
17 20 0.262335 -0.0364925
17 40 0.262161 0.0121231
17 60 0.263629 -0.0346773
17 80 0.255239 0.0367582
17 100 0.261796 0.0238379
17 120 0.265974 0.0254302
17 140 0.265435 -0.00606419
17 160 0.266167 0.0205985
17 180 0.263556 -0.00237393
17 200 0.26281 -0.0112355
17 220 0.26495 0.0169402
17 240 0.265538 -0.0357024
17 260 0.271907 0.0235269
17 280 0.264521 -0.0137749
17 300 0.264475 -0.0104458
17 320 0.267745 0.03852
17 340 0.261866 -0.0678735
17 360 0.264924 -0.0483851
17 380 0.263399 0.0190471
17 400 0.268652 -0.0550298
17 420 0.261167 0.0405738
17 440 0.264157 -0.000650291
17 460 0.257002 -0.0184371
17 480 0.268578 -0.0418741
17 500 0.266086 -0.0221209
17 520 0.260266 0.0271389
17 540 0.27232 -0.0180572
17 560 0.257522 -0.0550122
17 580 0.263973 -0.0384208
17 600 0.26157 0.124391
17 620 0.259672 -0.119009
17 640 0.264797 0.0255169
17 660 0.259312 -0.00413826
17 680 0.256601 -0.0550925
17 700 0.265348 0.0275455
17 720 0.258981 -0.0174653
17 740 0.261079 -0.0130418
17 760 0.263515 -0.0359468
17 780 0.267979 -0.145956
17 800 0.254501 -0.0419139
17 820 0.254304 0.00964637
17 840 0.255381 -0.116451
17 860 0.25293 0.0227645
17 880 0.265518 0.086961
17 900 0.284375 0.168836
17 920 0.30078 0.0651364
17 940 0.290384 -0.147569
17 960 0.304159 0.0280737
17 980 0.340029 0.0926819
18 20 0.23984 -0.0737978
18 40 0.244001 -0.0438856
18 60 0.249091 0.0374552
18 80 0.245789 0.0460638
18 100 0.245831 0.00560361
18 120 0.243569 0.022419
18 140 0.243053 0.0314
18 160 0.239337 -0.0671205
18 180 0.239201 0.0282934
18 200 0.245342 -0.00828912
18 220 0.245276 -0.0136272
18 240 0.243303 -0.021908
18 260 0.241643 -0.0268503
18 280 0.243028 0.00874049
18 300 0.240451 -0.0397709
18 320 0.249397 -0.017797
18 340 0.243948 -0.0114118
18 360 0.241213 -0.0329747
18 380 0.237717 -0.0469663
18 400 0.24139 -0.00310888
18 420 0.245497 -0.0124123
18 440 0.247809 0.0802912
18 460 0.243117 -0.0803569
18 480 0.25067 0.0665302
18 500 0.25042 0.0496579
18 520 0.247304 0.0195717
18 540 0.252442 -0.0422122
18 560 0.252427 -0.0532634
18 580 0.239543 -0.0018748
18 600 0.253264 -0.00781495
