thread uniavg gaussavg gaussvar gausskurt
139 0.503206 -0.0182333 1.01893 2.68321
140 0.504114 0.00788014 1.06307 2.62984
141 0.490875 -0.0392112 1.07077 2.51139
142 0.489923 -0.0104388 1.04712 2.7742
143 0.488299 -0.0465932 0.971632 3.06572
144 0.493719 0.0311524 0.955572 3.25244
145 0.49561 0.0239457 0.986585 2.97935
146 0.481896 -0.0274001 1.00735 3.0076
147 0.490746 -0.00896703 1.00338 3.0083
148 0.517269 0.012508 0.981219 3.04722
149 0.51342 0.0236763 1.00976 3.10505
150 0.498896 -0.00220804 1.0733 2.60991
151 0.492728 0.00420451 1.03471 2.6954
152 0.513606 0.00359846 1.01725 2.95481
153 0.510318 0.038343 0.987038 2.97858
154 0.505948 0.0119776 0.957184 3.11148
155 0.48758 -0.0213274 1.06719 2.61329
156 0.516399 0.0879049 1.01691 3.07425
157 0.513328 -0.00314072 0.971984 3.01895
158 0.497582 0.0342992 0.97456 2.97935
159 0.485695 -0.0323675 1.02936 2.59541
160 0.48943 0.0177477 1.01342 2.85455
161 0.503402 0.031233 0.998941 2.73729
162 0.480896 0.0161065 0.977516 3.31203
163 0.485054 -0.0380588 1.06296 2.61347
164 0.487906 0.0603817 1.05521 2.4235
165 0.493222 0.0345181 0.980965 3.4377
166 0.488525 0.0681875 1.02885 2.75552
167 0.519823 0.0219863 0.963024 3.19486
168 0.489674 -0.000222491 0.949859 3.39341
169 0.485368 -0.0393185 1.04394 2.53356
170 0.491193 -0.00380584 0.998453 3.21631
171 0.493026 0.0213149 1.06217 2.60191
172 0.516449 -0.0408243 1.01094 2.65861
173 0.504382 0.0171932 0.956902 3.06235
174 0.500857 -0.0483252 1.007 2.8047
175 0.489731 0.0160119 1.02443 2.81819
176 0.498956 0.0136466 1.00179 3.02391
177 0.511398 -0.00507649 1.044 3.00774
178 0.499604 -0.0745916 1.0071 2.86617
179 0.500618 -0.0115993 0.904497 3.61093
180 0.485913 -0.00932825 1.03875 2.81754
181 0.496389 -0.0398812 0.974618 3.28129
182 0.496232 -0.0275408 0.95373 3.43448
183 0.510148 0.0129213 0.94347 3.33134
184 0.486715 0.0648678 0.936617 3.01776
185 0.519014 0.02545 0.972131 3.26816
186 0.49679 -0.0332522 0.89899 3.78492
187 0.502262 0.00528818 0.9526 3.50042
188 0.512837 0.0275928 1.03854 2.7289
189 0.50017 -0.0259442 0.966325 3.26973
190 0.505835 -0.0207366 1.06227 2.5056
191 0.49214 -0.0126403 1.02704 2.65463
192 0.495919 -0.011358 1.02736 2.89289
193 0.509561 0.0123499 0.984265 2.96701
194 0.508974 -0.0139576 0.954977 3.12711
195 0.503106 0.00909444 1.06206 2.88842
196 0.509334 -0.00017031 0.97496 3.01524
197 0.491627 0.0368351 0.94739 3.35362
198 0.503227 -0.00526311 0.915267 3.50239
199 0.496296 0.0312498 1.00877 3.06372
200 0.517486 0.0278922 1.01588 2.67753
201 0.498319 0.00737777 0.961445 2.88236
202 0.511606 -0.0145671 0.940119 3.35894
203 0.503666 -0.0389293 0.973029 3.1973
204 0.501638 0.0553041 1.02492 2.73632
205 0.523893 -0.033552 1.0541 2.72208
206 0.494711 -0.015355 0.942547 3.54943
207 0.499607 0.0191823 0.964653 3.07935
208 0.505353 0.00631979 0.982218 3.14493
209 0.494063 0.0306915 0.981554 3.12081
210 0.490688 0.0414137 0.984402 2.90966
211 0.492283 -0.0156658 0.97563 3.15957
212 0.494388 0.0246696 1.03475 2.75618
213 0.501891 0.0314779 1.00884 2.89613
214 0.501573 0.027302 1.04982 3.11216
215 0.501339 0.0382466 0.982331 3.03002
216 0.509496 -0.048286 1.01636 2.95824
217 0.489023 -0.0339407 0.969345 3.21783
218 0.505422 -0.0101368 0.93625 3.34232
219 0.487297 -0.00273214 1.02703 3.40194
220 0.495051 -2.68325e-05 0.95348 3.25219
221 0.496889 0.0265712 1.0695 2.45811
222 0.508732 0.0549273 1.03615 2.80404
223 0.491694 -0.00368324 0.984366 3.14428
224 0.496328 0.031725 0.942605 3.19507
225 0.491349 -0.0355138 1.02503 2.74157
226 0.516308 -0.0050821 0.983967 3.24136
227 0.501176 -0.0618725 1.02061 2.83259
228 0.498579 0.032992 0.993738 2.92724
229 0.510988 -0.0413768 0.917648 3.81996
230 0.496326 -0.000239249 0.968846 3.42679
231 0.507003 -0.0170647 1.00439 2.88882
232 0.501427 -0.00893486 1.0042 2.91769
233 0.508376 -0.0367095 1.00617 3.02469
234 0.482088 0.014505 0.988046 2.8142
235 0.492406 0.0370556 0.946851 3.40785
236 0.519259 -0.0246504 1.02312 2.858
237 0.48508 -0.00304218 0.94578 3.7524
238 0.509231 -0.0324856 1.03519 2.79322
239 0.504299 -0.0608041 0.985553 2.9109
240 0.511496 0.0121253 1.03658 2.43228
241 0.494325 -0.0395429 1.0494 2.63199
242 0.4942 0.0373424 0.97151 3.19386
243 0.500505 -0.00790904 1.00808 2.70483
244 0.50507 -0.00718028 0.958988 3.39961
245 0.498578 -0.0290487 0.886768 3.90987
246 0.507158 -0.0332461 0.977673 3.08443
247 0.522562 -0.0277895 0.966153 3.10959
248 0.495473 -0.0408925 1.00439 2.86794
249 0.501864 -0.0346022 1.0138 2.90634
250 0.491092 -0.0196616 0.96787 2.94777
251 0.480464 -0.0945299 0.952188 3.2065
252 0.501461 -0.0131297 0.955633 3.25094
253 0.508862 0.00571045 0.997881 2.90072
254 0.497946 -0.03717 0.956541 3.25573
255 0.486669 -0.007559 1.05346 2.87578
256 0.512795 0.0124423 0.973266 3.02093
257 0.501192 -0.056692 1.03042 2.67739
258 0.491402 0.00865397 0.941969 3.28715
259 0.497321 0.019247 0.952109 3.30064
260 0.51283 0.00563223 0.935841 3.41974
261 0.50434 0.0148309 1.00496 3.20898
262 0.486669 0.013465 0.964777 3.37553
263 0.495433 -0.0552565 0.944281 3.1545
264 0.487657 -0.0172041 0.959863 3.25969
265 0.495578 0.0297853 1.00574 2.86834
266 0.486544 -0.0289876 1.04116 2.70927
267 0.50315 -0.088266 1.02438 2.75367
268 0.503249 0.00180169 1.01996 2.95386
269 0.503582 -0.0567245 1.01795 3.07874
270 0.496231 0.0549149 1.0033 2.8746
271 0.500248 0.0641061 1.0445 2.82276
272 0.513097 -0.00955977 0.931128 3.31278
273 0.500276 0.0220618 0.951597 2.99914
274 0.472351 -0.0559604 0.946652 3.15798
275 0.502716 0.0252989 1.04154 2.69787
276 0.493808 -0.000200894 0.992167 2.88335
277 0.490693 0.0381584 1.0769 2.62995
278 0.501818 0.0347318 1.01414 2.89378
279 0.501897 0.0129874 0.933878 3.3498
280 0.506883 0.00342635 0.998554 2.89627
281 0.476486 -0.0029948 1.0909 2.322
282 0.501133 -0.0233051 0.971428 3.31235
283 0.508863 0.00841022 1.05948 2.59582
284 0.498088 0.0508646 1.04715 2.69157
285 0.494665 -0.00524701 0.946556 3.13227
286 0.49437 -0.0183785 0.991543 2.82687
287 0.498624 -0.0209362 1.05825 3.09072
288 0.492233 0.0345596 0.958233 3.14579
289 0.491156 -0.0222082 0.959808 3.11475
290 0.508621 -0.00123106 1.04024 2.64872
291 0.500231 -0.0458738 0.99078 2.95704
292 0.482695 0.015391 0.990353 2.95189
293 0.494199 0.0070447 0.985574 3.27137
294 0.488364 -0.0161775 1.01648 2.75559
295 0.504088 0.0320461 0.975144 3.01954
296 0.512764 0.00737591 0.99194 3.10993
297 0.502045 0.026373 1.00523 3.15436
298 0.506611 0.025451 1.06872 2.80496
299 0.50836 0.0210974 0.93137 3.2365
300 0.504813 0.0297004 1.00959 2.91245
301 0.501145 -0.024598 1.01462 2.94707
302 0.512335 -0.00755169 1.01307 3.01722
303 0.48773 -0.0567633 0.996537 2.89717
304 0.502586 0.0925948 0.968191 3.16336
305 0.506381 0.037517 1.04392 2.94247
306 0.505085 -0.0216283 1.00214 2.85808
307 0.49192 -0.0333944 0.941521 3.23894
308 0.492461 0.0183058 0.996169 2.91235
309 0.494707 -0.0324102 0.942911 3.50645
310 0.510193 -0.0312676 0.900565 3.8493
311 0.500223 -0.0730365 0.993811 3.02678
312 0.49198 -0.0150992 0.993523 2.91463
313 0.496964 -0.032792 0.979643 3.27315
314 0.499638 -0.0761914 1.04588 2.74103
315 0.490074 -0.0444633 1.04423 2.69342
316 0.49307 -0.00153838 0.994383 2.8117
317 0.500306 0.00356922 0.980437 3.04004
318 0.48587 0.00130659 0.95809 3.14731
319 0.501447 0.0361171 0.996139 3.07049
320 0.51275 0.0567364 0.994175 3.12862
321 0.481941 -0.0130004 1.06187 2.45732
322 0.507818 0.00579162 1.01798 2.74301
323 0.50349 0.0318895 0.912887 3.34293
324 0.506014 -0.0114349 1.00243 2.88642
325 0.493574 0.0144607 1.02837 2.72829
326 0.492948 0.000967179 0.992914 3.17564
327 0.496292 -0.015338 1.00049 3.20113
328 0.476989 0.0222638 1.017 2.75743
329 0.510014 0.0173832 0.928434 3.39482
330 0.490536 0.020544 1.03181 2.67331
331 0.508546 0.0748942 1.01879 2.82825
332 0.493143 -0.0135849 1.07386 2.64024
333 0.503831 0.0129622 0.993545 3.11183
334 0.509718 0.0288846 0.960477 3.58354
335 0.510036 -0.0106854 0.996837 3.10095
336 0.505635 -0.005219 0.957122 2.99057
337 0.509721 0.0507345 0.983801 3.15106
338 0.486756 0.00559973 1.03885 2.95763
339 0.493243 0.0110014 0.961743 3.61877
340 0.499872 -0.0125567 1.00432 2.92824
341 0.487776 0.0201844 1.05581 2.63694
342 0.507502 0.00410087 1.03327 2.67246
343 0.491335 -0.0158485 0.981793 3.09999
344 0.489441 0.086398 1.10522 2.46665
345 0.503322 0.0452954 1.05417 2.65897
346 0.503437 -0.00660844 1.03663 2.98674
347 0.494974 0.0349961 1.03093 2.91251
348 0.5014 0.0324053 0.992603 3.38961
349 0.507245 -0.0706687 0.968058 3.22362
350 0.494605 -0.0483843 0.97398 2.94508
351 0.508015 0.0124776 1.02696 2.84961
352 0.494395 0.0416331 1.02664 2.84434
353 0.488876 -0.0190151 1.02199 3.37014
354 0.496212 0.0520713 1.01752 2.82494
355 0.517289 -0.0422343 0.940273 3.216
356 0.492511 -0.0602615 1.01505 2.91505
357 0.487255 0.0200816 1.01417 2.62014
358 0.495811 0.0333478 0.99355 3.00849
359 0.498035 -0.0320891 1.02772 2.72947
360 0.499626 -0.0616386 0.970972 3.48096
361 0.481617 0.0209314 0.984093 3.18388
362 0.508174 0.0780774 0.981555 3.0909
363 0.500865 0.0253454 0.946539 3.72942
364 0.504718 -0.0270511 1.03594 2.73937
365 0.508029 0.00369697 1.02213 2.68951
366 0.49996 -0.0348739 0.925098 3.59834
367 0.495533 -0.00128076 1.01527 2.91478
368 0.501305 -0.0155457 1.03326 2.89495
369 0.492344 -0.0225428 0.99817 2.90833
370 0.486564 -0.00580302 0.94328 3.35729
371 0.497442 -0.0167301 1.0027 2.99865
372 0.493999 0.0228212 1.02094 3.01613
373 0.48473 0.0440789 0.999416 2.88525
374 0.499188 -0.0305671 0.924249 3.8415
375 0.510117 0.0393999 1.00246 2.90284
376 0.48992 0.0124045 1.002 2.91756
377 0.499847 0.0439687 1.05185 2.76332
378 0.505343 0.00526029 0.910746 3.69869
379 0.50257 -0.00310699 1.00167 2.87411
380 0.480701 -0.0644222 0.962679 3.23991
381 0.499871 -0.0363863 0.994301 2.93567
382 0.492373 -0.0392588 0.971803 2.92047
383 0.4935 -0.068475 0.990202 2.9695
384 0.490497 0.00577735 0.997805 2.96523
385 0.483323 -0.0212795 0.986181 2.9506
386 0.491377 0.00572293 0.99452 2.95722
387 0.482369 0.0217335 1.06213 2.57463
388 0.504887 0.0189412 1.01233 2.86515
389 0.512789 -0.0213093 0.96586 3.53474
390 0.49967 0.00530299 1.02432 3.10623
391 0.500305 -0.00265922 1.07831 2.37634
392 0.492505 0.00826208 0.986394 3.11457
393 0.494475 -0.0295789 1.01404 2.8877
394 0.5024 -0.0301072 0.960645 3.36474
395 0.494802 -0.0259153 1.05756 2.9581
396 0.497363 -0.0575593 1.08956 2.7364
397 0.510046 0.0180314 1.00353 2.84237
398 0.49749 -0.0122982 0.946907 3.31663
399 0.499728 -0.002783 1.04168 2.9455
400 0.507264 0.0185806 1.03861 2.74456
401 0.50735 0.058282 1.01917 2.82349
402 0.507071 -0.0425027 0.992795 2.83544
403 0.498123 0.0265799 0.962282 3.40926
404 0.487883 -0.0346428 0.98379 2.95497
405 0.500461 -0.041325 0.951761 3.27567
406 0.492507 0.0344219 1.00622 3.08363
407 0.495816 -0.0413246 1.005 3.10385
408 0.491168 -0.0448025 1.08199 2.57345
409 0.487714 -0.00347987 1.08583 2.53768
410 0.500915 -0.025987 0.990623 2.89775
411 0.507016 -0.0221723 0.941458 3.09986
412 0.514866 -0.0217008 1.02003 2.77474
413 0.498016 -0.0128941 1.00728 3.10418
414 0.511076 -0.0245903 0.976983 3.11014
415 0.492351 0.0100667 1.05695 2.69485
416 0.506495 0.0177419 0.996399 3.14623
417 0.505368 -0.053341 0.95373 3.31829
418 0.500526 -0.0149964 0.962586 3.40461
419 0.490493 -0.0273216 0.953473 3.30459
420 0.497686 0.00812485 0.984075 3.11818
421 0.503739 0.0397058 1.00255 3.10042
422 0.510576 -0.00856739 0.936586 3.63994
423 0.490285 0.040436 0.931738 3.25802
424 0.4881 -0.022783 1.02526 2.88015
425 0.492878 0.0541609 0.996896 3.35588
426 0.509169 0.0235587 1.0018 2.9197
427 0.496791 0.0207175 1.00164 3.07094
428 0.491802 0.0459809 0.978087 2.95852
429 0.513687 -0.0125229 1.00444 2.96682
430 0.486928 0.00613916 0.992085 3.08056
431 0.499751 0.0207313 1.00876 2.85174
432 0.503361 -0.0268169 1.01011 3.16469
433 0.500284 0.0169852 0.993668 2.96508
434 0.490492 0.0255448 0.989411 2.91211
435 0.496435 -0.0117236 0.948498 3.23042
436 0.501851 -0.0263567 0.893803 3.83651
437 0.504399 0.0210914 0.927448 3.33323
438 0.498275 0.0281179 0.997018 2.82171
439 0.49759 0.00618088 1.07107 2.84295
440 0.492829 -0.0212549 0.966561 3.25175
441 0.492819 0.0216669 1.00727 3.03047
442 0.509754 0.00409513 1.00145 2.88673
443 0.509926 -0.0242532 1.00187 2.96458
444 0.481166 -0.0186995 1.00897 3.16248
445 0.506933 -0.0575799 0.988832 3.18903
446 0.49893 0.00319324 1.01732 2.82211
447 0.507121 0.0367847 0.954053 3.25044
448 0.504142 -0.0116814 1.00771 3.04897
449 0.491846 -0.0424647 1.04899 2.84506
450 0.496039 0.00600366 0.939424 3.47027
451 0.485088 0.00405747 0.987995 2.91272
452 0.493996 0.0518092 0.938657 3.38292
453 0.495327 0.0533605 0.946887 3.56104
454 0.488323 0.0359282 0.997284 3.00252
455 0.497216 0.062514 1.09199 2.41345
456 0.505031 0.0217743 1.05013 2.86218
457 0.508129 0.0404691 0.954933 3.46366
458 0.504642 -0.0477637 1.0729 2.49191
459 0.512657 -0.0608017 0.992335 3.03873
460 0.508505 0.0301731 0.945316 3.39362
461 0.492129 -0.0558041 1.00488 3.11247
462 0.49246 0.0438225 0.986151 2.8636
463 0.501152 0.0568506 0.999106 3.11249
464 0.519467 -0.0399642 1.01802 3.22173
465 0.491975 0.0144316 0.976675 3.07795
466 0.51058 0.00757134 0.969023 2.9973
467 0.514754 0.0189606 0.997582 2.87704
468 0.503114 0.0161184 0.954815 3.37854
469 0.499438 -0.0212945 1.04764 2.61091
470 0.497663 -0.0779572 0.945843 3.23008
471 0.508747 -0.0243972 0.997573 3.06359
472 0.514673 0.01403 1.00144 2.99194
473 0.496881 -0.0115822 1.07263 2.64019
474 0.498643 0.000358838 1.08428 2.58542
475 0.497496 0.018566 1.00569 2.69947
476 0.496182 -0.0038555 1.0136 2.75258
477 0.494851 -0.00250709 0.992894 2.87077
478 0.493993 0.0298643 1.04613 2.94916
479 0.499061 -0.00833372 0.989233 3.06889
480 0.51554 0.0057735 0.969745 3.10079
481 0.500147 -0.00430173 0.903715 4.1649
482 0.501232 -0.0580542 0.919947 3.70889
483 0.505361 -0.040463 1.00362 2.84478
484 0.494674 -0.0486013 1.02575 2.65784
485 0.490434 -0.0192296 1.02464 2.94679
486 0.513458 -0.00525887 0.94893 3.56924
487 0.511893 0.0587071 0.94625 3.40569
488 0.50463 0.0276826 0.956005 3.40139
489 0.489619 -0.0184766 1.03916 2.68439
490 0.514046 0.0187224 1.04728 2.51915
491 0.503876 0.0354732 1.04334 2.52906
492 0.51759 0.0255845 0.985109 2.98197
493 0.515505 0.0359997 0.953214 3.22381
494 0.50429 -0.0223818 1.04257 2.59501
495 0.519244 -0.0130966 0.910587 3.57043
496 0.486202 0.0214662 1.04971 2.74156
497 0.500452 -0.00607891 0.987508 2.9101
498 0.510728 0.00230004 1.05079 2.57684
499 0.503966 -0.00558589 1.04789 3.0558
500 0.497698 -0.00546914 0.932611 3.33241
501 0.514599 -0.0547125 0.996005 3.10747
502 0.512934 -0.0780883 1.10111 2.47795
503 0.49144 -0.0316944 0.971566 3.08164
504 0.50886 0.0410209 0.943702 3.38854
505 0.492058 0.0288858 1.05184 2.83309
506 0.522052 -0.0210897 1.01654 2.72812
507 0.510146 0.0615658 0.980454 3.02531
508 0.505459 0.00922196 1.0303 2.68862
509 0.487297 0.0373699 1.02267 3.14121
510 0.527777 -0.000360107 1.03286 2.76476
511 0.496499 -0.00318862 1.09542 2.52843
